name,abv,desc,style_name
Trip In The Woods Barrel Aged Narwhal w/Red & Black Currents,9.8,"Barrel-Aged Narwhal is our deliciously dark Imperial Stout aged in Kentucky bourbon barrels. Barrel aging is a strange science; it mellows some characteristics of the original beer while intensifying others. Narwhal’s aggressive roastiness has calmed, but the rich, chocolate-like malt backbone is brought to the fore. Black as midnight, this intense stout is complex with notes of cocoa and espresso balanced with hints of vanilla and toasted coconut from the oak casks. Nearly as rare as it’s nautical namesake, try Barrel-Aged Narwhal while you can because like the creature itself, it will soon dive into the depths and leave nary a trace behind.

Aged in bourbon barrels with red and black currants added.",American Imperial Stout
Trip In the Woods Biere De Garde,9.8,Aged in port wine barrels.,Bière de Garde
Trip In the Woods: Tequila-Barrel-Aged Otra Vez,7.5,Otra Vez Gose aged in Reposado Tequila oak barrels with lime and agave.,Contemporary Gose
Trip in the Woods Madeira Quad,10.5,"Aged in Madeira barrels, this brew is big, woody, malty and fruity.",Belgian Quad
Trip in the Woods: Barrel Aged Ginger Bigfoot,11.4,"This is a special version of our barrel-aged Bigfoot
Barleywine with fresh ginger added into the barrels.
The resulting kick of ginger mellows Bigfoot’s
ferocious hop bite and adds a new level of brightness
and complexity. This beer features notes of burnt sugar,
orange zest, vanilla, and candied ginger.",American Barleywine
Trip in the Woods: Maple Scotch,9.8,Scotch-Style Ale brewed with Maple Syrup and aged in Bourbon Barrels,Scotch Ale
Tripel  Squared,9.0,"Laughing Dog Brewing 9th Anniversary Beer. A Belgian Style Tripel Aged in Chardonnay  Barrels 

Taste of Chardonnay and Oak up front  somewhat dry and Spicy in the finish",Belgian Tripel
TripleTail,5.5,"A tropical approach to the IPA style, TripleTail weaves juicy and bodacious hops with notes of papaya, pineapple and passionfruit into this lush hop-forward IPA.",American IPA
Tripper Noche,12.1,"Tripper Noche, a unique collaboration with Jose Cuervo. Tripper Noche takes New Holland Imperial Stout, and ages it in Jose Cuervo tequila barrels, adding a smooth sweetness to the finish.",American Imperial Stout
Tropical Lover,4.3,"Berliner Weisse style - a tart, refreshing wheat ale brewed with mango, passionfruit, and guava",Sour
Tropical Mama’s,5.3,Mama’s Little Yella Pils dry-hopped with Mosaic hops,American Pilsener
Tropical Torpedo,6.7,"Inspired by the island life, we created an IPA completely disconnected from the mainland. We used our one-of-a-kind Hop Torpedo to deliver an intense rush of hop flavor and the lush aromas of mango, papaya, and passionfruit with every sip. Enjoy our tropical twist on the American IPA.",American IPA
TuberFest,7.5,"The TuberFest is a smooth and malty lager that is counterbalanced with some delicious Pacific NorthWestern Idaho #7 hops, giving it a cedary, herbal zing… Brewed to jumpstart your salubrious slide into late-Summer. Ach!",American Oktoberfest
Tumbler,5.5,"As the nights grow cool, the leaves on the valley oaks begin to turn and fall. In honor of this yearly dance, we bring you Tumbler Autumn Brown Ale and invite you to enjoy the show.

We use malt within days of roasting at the peak of its flavor to give Tumbler a gracefully smooth malt character. So pour a glass, and grab a window seat to watch as the leaves come tumbling down.",American Brown
Twin Peaks,5.0,A Sierra Nevada collaboration with aromas of tropical fruits - pineapple and mango balanced with the refreshing taste of lemon sherbet - refreshing and easy drinking.,American Pale
Twisted Fish,5.3,"This pilsner uses traditional Czech yeast and fermentation temps, with traditional and non-traditional pilsner hops.

$1 from every case sold will be donated to fund projects that benefit sustainable fisheries and recreational anglers. These projects create and restore habitats, advance the science of marine conservation, foster habitat stewardship, and educate communities on the value of conservation",International Pilsener
Two-One Niner,4.8,"This is a Classic American Pilsner brewed for Sandpoint’s 219 Lounge. The aroma is grainy with some corn, color is light straw with brilliant clarity. Light malt notes are balanced with a very subtle Willamette hop presence.",American Pilsener
Unfiltered Wheat Beer,4.4,"Pale, smooth, and light-bodied, Sierra Nevada Wheat Beer is brewed from premium malted wheat and light barley malts, utilizing our traditional ale yeast. This unfiltered ale is finished with the characteristically spicy Strissel Spalt hops from the Alsace region of France. 

The lightest Sierra Nevada beer is this refreshing wheat beer made with barley & wheat for a very light character but loads of flavor!

SILVER MEDAL WINNER
California State Fair (American Wheat: 2000)",Wheat Ale
VT Haze,4.1,"A collaboration with our friends over at Nectar’s. This hazy session was brewed with wheat, rye, Citra, Simcoe, and Amarillo and dry-hopped with Nelson Sauvin. Fresh beer served daily!",Session IPA
Vanilla Porter,5.4,"Who would have thought deep in the jungles of Papua New Guinea and Madagascar grew the perfect ingredient to build an extraordinary Porter in Colorado? An ale that has all the chocolate and roasted nut flavor of a classic Porter, with an enigmatic surprise thrown in for good measure, real vanilla bean. Breckenridge Brewery’s Vanilla Porter. A vanilla kiss in a rich, dark sea.

Yeast: Top Fermenting Ale Yeast
Malts: Two Row Pale, Caramel, Chocolate, Black, Roasted Barley
Hops: Chinook, Tettinang, Perle, Goulding
Vanilla: Real vanilla beans from Paupau New Guinea and Madagascar.",Brown Porter
WTFarmhouse,8.41,"We took the Wilco Tango Foxtrot, our malty, robust, brown ale and threw it into red wine oak barrels for 30 months, giving it a tart funky feel. WTF, indeed!",BBL Aged Sour
Wachusetts IPA,5.6,Dry-hopped with Cascade for an awesome floral nose.,American IPA
Waldo's Special Ale,11.5,4/20 Special Double IPA,Imperial IPA
Wally,7.0,"The Wachusett brewers banded together their over 160 years of brewing experience and developed a New England IPA. 

This IPA yields an ABV of 7%. The IBUs are 70. This is achieved by a variety of hops including: CTZ, Bravo, Citra, Simcoe, and an experimental hop named 431. 

The aroma is from an experimental 2-step dry hopping process using Citra and 431.

The yeast is an English strain that is used in some of our other beers. The color is around 4 SRM and this beer is purposefully cloudy. The grains in this beer are: 2-row pale, Vienna, Melanoidin, Acidulated malt, Torrified Red Wheat and Golden Oats. 

The brew team is hard at work developing several new creative beers we will
be presenting in 2017. Enjoy with Friends.",American IPA
Wally Junior,4.5,"WALLY JUNIOR.
WHEN PEOPLE ASK, WE DELIVER. IT SEEMS PEOPLE LOVE “BIG” WALLY SO MUCH THAT THEY WANT TO ENJOY MORE OF THEM WITH THE SAME AWESOME FLAVOR HERE ENTERS THE 4.5% ABV, WALLY JUNIOR. CHEERS!

The Wachusett brewers banded together their over 160 years of brewing experience and developed a juicy, hazy, New England IPA. 

The citrusy aroma is achieved from an experimental 2-step dry hopping process using Citra and an experimental hop named 431. The other hop varieties used in this brew are CTZ, Bravo, & Simcoe. 

The yeast is an English strain. The color is around 4 SRM and this beer is purposefully cloudy. The grains in this beer are: 2-row pale, Vienna, Melanoidin, Acidulated malt, Torrified Red Wheat & Golden Oats.",Session IPA
Wango Mango,6.0,Honey mango saison.,Fruit Beer
Water-melon-Rita,8.0,"Say ""Whats up!"" to Water-Melon-Rita! If you prefer a Watermelon Margarita that has all the juiciness without all the seeds this RIta is for you!",Flavored Malt Beverage
Waterkeeper,6.0,"Perfect for a float down the Hooch or just grillin’ in the backyard, Waterkeeper Hefeweizen is our go to summer brew. Picks up with notes of banana and clove and light enough to drink all day.",Hefeweizen
Well Built,8.8,"We joined forces with Stranahan's Colorado Whiskey to create Well Built. A warming, soul-satisfying, strong malty ale with complexity and allure made possible by this unique Colorado collaboration.",BBL Aged
Whiplash,6.3,"What happens when a 500year old Belgian style ale gets rear-ended bya truckload of pompous American hops? It equals one heck of an ambulance chaser of a beer. This is an American style Belgian IPA, with a subtle phenolic ﬂavor in combination with citrusy/piney hops, well balanced at 6.2% and 55 IBUs, with a tart, dry ﬁnish.

Grains: 2-Row, Wheat, Flaked Oats
Hops: Bravo, Ahtanum, Centennial, Cascade
Dry Hop: Ahtanum, Centennial, Simcoe
Yeast: Strong Belgian Ale

2014 World Beer Cup Bronze Medal winner for American-Belgo-Style Ale category.",American IPA
White Ale,4.8,Belgian style wheat with coriander and orange peel.,Witbier
White Hatter,5.5,"An innovative hybrid of styles landing between white ale and India Pale Ale. White Hatter brings spice, hops, and fermentation notes together flavorfully.",Belgian Pale
White Lightning ,6.5,"A White IPA, this beer takes the ingredients of a traditional Belgian Wit and enhances all of the orange peel and spiciness with an IPA hop profile.",American IPA
Whole Lotta Lov,5.4,"Rich and full-bodied English Stout. Coffee and chocolate notes are derived from the roasted malts. Lower bitterness and the addition of lactose produce a creamy mouthfeel.

NOTE: Lov is short for Lovibond, a color scale for malts.",Sweet Stout
Wicked Wheat IPA ,5.6,"Light bodied, light straw colored, wheat IPA with hop flavor & aroma reminiscent of tangerines and oranges. A British yeast strain with high attenuation leaves a crisp, dry, balanced finish.",American IPA
Wicket IPA,5.4,"An Indian-inspired English I.P.A. brewed with jaggery sugar, mango puree and fresh turmeric. Milder than its American counterparts, this beer is well-balanced with the quiet influence of South Asian flavors.",English IPA
